size(byte),latency(ns)
0.00049,1.460
0.00098,1.462
0.00195,1.460
0.00293,1.462
0.00391,1.448
0.00586,1.459
0.00781,1.452
0.00977,1.449
0.01172,1.459
0.01367,1.462
0.01562,1.462
0.01758,1.462
0.01953,1.459
0.02148,1.460
0.02344,1.462
0.02539,1.460
0.02734,1.448
0.02930,1.454
0.03125,1.454
0.03516,1.462
0.03906,1.449
0.04297,1.449
0.04688,1.462
0.05078,1.923
0.05469,2.294
0.05859,1.969
0.06250,1.833
0.07031,2.379
0.07812,2.493
0.08594,2.578
0.09375,2.854
0.10156,2.833
0.10938,2.864
0.11719,2.591
0.12500,2.969
0.14062,3.093
0.15625,2.979
0.17188,3.229
0.18750,3.284
0.20312,3.320
0.21875,3.366
0.23438,3.395
0.25000,3.497
0.28125,3.520
0.31250,3.514
0.34375,3.527
0.37500,3.527
0.40625,5.645
0.43750,5.675
0.46875,5.729
0.50000,5.765
0.56250,5.762
0.62500,5.807
0.68750,5.790
0.75000,5.842
0.81250,5.850
0.87500,5.812
0.93750,5.853
1.00000,5.863
1.12500,5.960
1.25000,6.008
1.37500,6.064
1.50000,6.079
1.62500,6.131
1.75000,6.106
1.87500,6.156
2.00000,6.106
2.25000,6.091
2.50000,6.107
2.75000,6.235
3.00000,6.179
3.25000,6.268
3.50000,6.384
3.75000,6.406
4.00000,6.406
4.50000,6.644
5.00000,7.105
5.50000,8.139
6.00000,8.533
6.50000,8.663
7.00000,8.566
7.50000,8.384
8.00000,8.257
9.00000,8.111
10.00000,8.128
11.00000,8.151
12.00000,8.166
13.00000,8.257
14.00000,8.140
15.00000,8.124
16.00000,8.018
18.00000,7.962
20.00000,7.890
22.00000,7.460
24.00000,7.186
26.00000,7.568
28.00000,8.084
30.00000,7.817
32.00000,8.178
36.00000,9.026
40.00000,9.699
44.00000,10.813
48.00000,12.755
52.00000,17.319
56.00000,25.081
60.00000,37.165
64.00000,48.419
72.00000,63.483
80.00000,82.778
88.00000,87.461
96.00000,91.565
104.00000,119.191
112.00000,120.875
120.00000,124.034
128.00000,122.900
144.00000,121.544
160.00000,123.428
176.00000,123.154
192.00000,124.253
208.00000,124.748
224.00000,125.057
240.00000,124.051
256.00000,124.598
288.00000,124.471
320.00000,125.372
352.00000,124.889
384.00000,125.736
416.00000,124.436
448.00000,126.472
480.00000,126.018
512.00000,126.684
576.00000,126.805
640.00000,127.212
704.00000,126.841
768.00000,126.776
832.00000,127.054
896.00000,126.934
960.00000,126.865
1024.00000,126.918

